"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Sphingomonas_daechungensis",0.84543,0.34186,0.84008,0.90582,0.36794,0.93414,0.79515,0.98719
"s__Lentzea_jiangxiensis",0.84973,0.0223,0.69011,0.85123,0.87323,0.73242,0.36388,0.21722
"s__un_f__Kineosporiaceae",0.25438,0.80495,0.58222,0.98417,0.78434,0.31111,0.46973,0.40133
"s__un_g__Hydrogenophaga",0.00595,0.70934,0.86546,0.90177,0.98364,0.90151,0.46228,0.12321
"s__Ohtaekwangia_koreensis",0.1371,0.81679,0.18077,0.66515,0.95854,0.40723,0.91435,0.35238
"s__Caulobacter_henricii",0.75564,0.02058,0.28966,0.14137,0.54455,0.42399,0.44589,0.01688
"s__un_g__Dactylosporangium",0.42661,0.7458,0.01287,0.8924,0.18531,0.50187,0.79791,0.06787
"s__Lysobacter_terrae",0.22684,0.69784,0.25996,0.08095,0.19011,0.93587,0.09905,0.71207
"s__Cellvibrio_mixtus_subsp._mixtus",0.56431,0.26454,0.73305,0.99546,0.12872,0.73874,0.39264,0.1401
"s__Ohtaekwangia_kribbensis",0.80187,0.65585,0.86795,0.03671,0.11834,0.35705,0.81301,0.66095
"s__un_g__Nocardia",0.33543,0.90809,0.71656,0.15836,0.16947,0.63028,0.10741,0.63671
"s__Promicromonospora_xylanilytica",0.15985,0.32769,0.83956,0.81458,0.88105,0.89782,0.11345,0.62506
"s__Saccharothrix_longispora",0.08101,0.3833,0.62562,0.75056,0.20204,0.61573,0.54971,0.1251
"s__un_f__Cryomorphaceae",0.42186,0.67347,0.97394,0.63917,0.25645,0.70873,0.47008,0.18153
"s__Bacillus_thuringiensis",0.58371,0.11414,0.03242,0.37324,0.23301,0.20077,0.40881,0.95143
"s__un_g__Phenylobacterium",0.52466,0.04336,0.63314,0.90735,0.37883,0.90595,0.45175,0.3965
"s__un_o__Myxococcales",0.31591,0.0894,0.911,0.65643,0.09469,0.28032,0.72511,0.46452
"s__un_g__Roseiflexus",0.47249,0.25072,0.95593,0.68887,0.12897,0.23614,0.20337,0.36876
"s__Polymorphospora_rubra",0.96996,0.59948,0.99027,0.24899,0.93464,0.44293,0.46603,0.92867
"s__un_c__Chloroflexia",0.52019,0.49971,0.96599,0.4538,0.32774,0.79901,0.48408,0.76936
"s__un_g__Ohtaekwangia",0.30113,0.67388,0.52032,0.29737,0.62697,0.86227,0.43195,0.75778
"s__Streptomyces_acidiscabies",0.22157,0.17744,0.2756,0.19587,0.42611,0.10226,0.62315,0.32767
"s__Bosea_lathyri",0.04891,0.77079,0.8972,0.59247,0.83885,0.52849,0.73717,0.79912
"s__Peredibacter_starrii",0.80755,0.57252,0.02703,0.73795,0.01493,0.07858,0.66174,0.30274
"s__un_g__Lysobacter",0.81093,0.73526,0.12237,0.04182,0.47001,0.8727,0.34883,0.34298
"s__Lentzea_kentuckyensis",0.77383,0.29208,0.13332,0.08003,0.67373,0.50938,0.98584,0.834
"s__Gaiella_occulta",0.10664,0.99952,0.69238,0.09776,0.42331,0.37244,0.42139,0.04401
"s__un_f__Chloroflexaceae",0.13322,0.98978,0.21153,0.22476,0.82518,0.02089,0.14847,0.56199
"s__un_k__Bacteria",0.6501,0.25512,0.86888,0.8999,0.14049,0.98959,0.12844,0.64286
"s__un_g__Arthrobacter",0.93196,0.19934,0.05134,0.53914,0.06614,0.26812,0.35807,0.53757
"s__un_g__Burkholderia",0.77226,0.13109,0.02414,0.75461,0.15245,0.30118,0.34989,0.69683
"s__un_f__Sphingobacteriaceae",0.7608,0.65472,0.61491,0.16634,0.19216,0.16135,0.49405,0.99036
"s__un_g__Mycobacterium",0.11977,0.38575,0.1359,0.55328,0.16392,0.36269,0.37465,0.36349
"s__Devosia_yakushimensis",0.02169,0.62712,0.25555,0.83952,0.34856,0.81255,0.8041,0.38037
"s__un_g__Solirubrobacter",0.62032,0.72849,0.06427,0.17272,0.17632,0.02775,0.97133,0.12694
"s__un_c__Betaproteobacteria",0.88118,0.02981,0.08925,0.61799,0.71462,0.96072,0.57402,0.08509
"s__un_g__Bradyrhizobium",0.05902,0.01236,0.71818,0.91592,0.87274,0.87243,0.94303,0.62137
"s__Inhella_inkyongensis",0.62165,0.03772,0.75764,0.72823,0.08014,0.97428,0.50072,0.24666
"s__un_g__Promicromonospora",0.60444,0.52543,0.64936,0.70122,0.51504,0.56443,0.11414,0.82553
"s__Iamia_majanohamensis",0.89717,0.1337,0.77485,0.27374,0.15741,0.36378,0.07004,0.80774
"s__Lysobacter_enzymogenes",0.45973,0.66042,0.66848,0.84324,0.14194,0.9221,0.14523,0.91539
"s__un_f__Rhodobiaceae",0.35945,0.64674,0.50384,0.44381,0.55289,0.35048,0.76716,0.87479
"s__Brevundimonas_basaltis",0.9418,0.1914,0.05892,0.80427,0.60256,0.96763,0.33149,0.07869
"s__un_g__Aeromicrobium",0.68263,0.16639,0.54525,0.27348,0.93574,0.17294,0.81089,0.50188
